subject,description,searched,problem
No route matches [GET],"I am not able to navigate to my ""check in"" page for mission control in Rails.",Used the book marks challenge,I think there's an issue with my directories. 
CSV file is acting weird... not saving user input,Albert and I refactored our code and everything was running fine except we noticed that CSV file doesn't save user input until we manually refresh the web page. ,"We tried to compare refactored code with prior version, but can't seem to find the issue.","I feel like this is a bug and it has to do with the order of Http routes on our Server.rb file, but since it was working before and we did not reorder the routes when refactoring code, so it's puzzling that it's behaving very differently. "
bin/rails:3: undefined method `require_relative' for main:Object (NoMethodError),"For this assignment: http://apollo.launchacademy.co/assignments/rails-order-and-limit

when I try to run rails console I get the error:
bin/rails:3: undefined method `require_relative' for main:Object (NoMethodError)",Google,::shrug::
TDD: wrong # of arguments issue,I'm trying to build a Leaderboard class that tests for unique (uniq!) arrays and I can't find the appropriate argument for validation.,old challenges,n/a
Still Need Help Installing Rails ,"Eric started helping me through the install but I had to go to the doctor in the middle of it. I did want to see if we can work through my issue today as I can't follow along in apollo.
",N/A,"first error:
_rvm_do_with_env_before:source:5: no such file or directory: /Users/pdw207/.rvm/scripts/initialize.

second notice:
Note you may need to manually remove /etc/rvmrc and ~/.rvmrc if they exist still.
Please check all .bashrc .bash_profile .profile and .zshrc for RVM source lines and delete or comment out if this was a Per-User installation.
Also make sure to remove `rvm` group if this was a system installation.
Finally it might help to relogin / restart if you want to have fresh environment (like for installing RVM again).

third notice:
Your user account isn't allowed to install to the system Rubygems.
You can cancel this installation and run:

    bundle install --path vendor/bundle

to install the gems into ./vendor/bundle/, or you can enter your password
and install the bundled gems to Rubygems using sudo.

Password:
"
"Using chartkick, group / group_by_day method",not grouping by any data types i'm passing it,"stack overflow, sql stuff","group by is not working, might be a problem with grouping by certain data types"
Salvaging breakable toy from github,"tried to implement devise after already having user-sign in structures, now everything is screwed up",error messages,"oMethodError (undefined method `find_by_remember_token' for #<Class:0x000001033f60e8>):

But this didn't happen when I pushed the last commit, and i just cloned the repository?"
Testing a join table ,Confused on how to test for a join table? Do I need to test validations and associations?,"Readings, stackoverflow",Not understanding concept. 
My validation test isn't passing,"I want to test that my object creation is invalid, since it is missing an attribute that cannot be null. But my test file is saying that it's valid.","apollo, and google, but everything seems to be in the right place.","I HAVE NOOOO IDEAAAAA. SOS
SOS
SOS
HELP! :( stressed out and hopelessly frustrated. (one of those days...)"
Clearing up some topics that confuse me.,I've done the TDD readings once again and I'd like to have a one on one session to ask questions about TDD that I don't understand and that are not entirely clear to me.,"The readings, and supplement readings.",N/A
Help with Schema change migrations: adding index and null: false,I keep getting error messages when trying to set schema changes through a migration to add_index and set null: false values which were not done on the original model creation. ,google peers,"I have a not null constraint trying to be entered in a migration, but the error says I have user_id which contains null values.  Not sure how to enter this change post creation.

Thanks!"
Clarification of namespacing,Having some trouble with namespacing for the admin section of my site. Would like some clarification,readings,a bit unclear on a few parts
Signing in,"When I run my tests, the site tells me I have an invalid username or password, even though I got those things from the FactoryGirl object. ",Looked through my group project's code but I can't figure out what's different,"I think there is a problem with the strong_params, or maybe with the special Devise controllers that I don't know how to access."
counter_cache for relationship via a join table,is it possible? how do i do it?,"rails docs, stackoverflow",.
Undefined method error with a file path,"I'm adding a form page, but getting error message ActionView::Template::Error:
       undefined method `houses_path' for #<#<Class:0x00000104559b28>:0x00000104563f88>",Stax,"I think that there is an issue with the routes, but I don't know what the console wants"
Testing OmniAuth,I want to test my model methods for OmniAuth system,omniauth integration testing wiki,Im not sure
Deleting multiple items with checkboxes,"I'm trying to delete multiple items using checkboxes, but when I hit the delete button nothing gets deleted.",stack overflow,not sure if I have my controller action set up right?
Foundation Grid,Having problems centering and organizing elements,"foundation docs, stackover",aboveeeeeeé
redirect after a comment creation in rails,not redirecting as expected after comment is submitted.,rails docs,unsure
I need help with Devise for a rails app I am making,"I'm following a tutorial on treehouse creating a rails app but my devise gem for the app doesn't seem to be working. When I make the necessary changes in my app model and view files, the app blows up. ","treehouse, can't really ask anyone else","I think what's happening is that treehouse is using ruby 1.9.3 which might be why my rails app doesnt exactly work. Also, in the tutorial they are changing the routes in a file that doesn't exist on mine. I think that's  what the problem is. I don't know how to do the ruby 2.0.0 equivalent."
Need to See if my time checkin is ok,I think I've completed the scaffolding challenge. I just need to make sure I've done the right thing. ,N/A,N/A
Switch SQLite3 to PostgreSQL,"I am following the instructions for switching SQLite to PostgreSQL and keep getting ""rake aborted!"" and ""database ""<app_name>_development doe not exit"". ",The error message itself,I am not really sure what is going on. 
problem with rails install,"➜  explore_rails git:(master) gem install rails
Fetching: i18n-0.6.9.gem (100%)
ERROR:  While executing gem ... (Gem::FilePermissionError)
    You don't have write permissions for the /Library/Ruby/Gems/2.0.0 directory.
➜  explore_rails git:(master) sudo gem install rails
----- WORKS!!! (HAVE TO OVERWRITE SOME FILES BY PUSHING YES-------
➜  explore_rails git:(master) bundle install
ERROR: RVM Ruby not used, run `rvm use 2.0.0` first.
➜  explore_rails git:(master)",http://rgabostyle.com/2010/03/10/get-rid-of-sudo-instals-on-mac-os-x-with-homebrew-and-brewbygems.html,"Can you take a look at the link attached? I fixed the error by running SUDO command but shouldn't I have run brew? I remember installing homebrew but don't really know the difference between sudo and homebrew. The discussion online further confuses me. Was it bad what I did? I also have another error in after getting past the permission issue.RV

From reading I found:

For Ruby 2.0.0 it should be rvm use 2.0.0-p195 as per your rvm list then start bundle install..
also sometimes it is required to run /bin/bash --login

Not sure what that means.

I am working from home so is there a way to troubleshoot via skype?"
SQL Statements Close but Not Exact.,"I think I am closed but returns some entries differntly. Not sure why in http://pgexercises.com/questions/joins/threejoin2.html


SELECT * FROM (SELECT DISTINCT CONCAT(m.firstname, ' ' , m.surname)
AS member, f.name as facility,
CASE WHEN m.memid = 0 THEN f.guestcost*b.slots ELSE f.membercost*b.slots END as cost
FROM cd.bookings as b
INNER JOIN cd.facilities as f
ON f.facid = b.facid
INNER JOIN cd.members as m
ON m.memid = b.memid
WHERE b.starttime BETWEEN '2012-09-14' AND '2012-09-15'
ORDER BY cost DESC) AS blah
WHERE cost > 30;",http://stackoverflow.com/questions/356675/using-an-alias-in-a-where-clause,"select mems.firstname || ' ' || mems.surname as member, 
	facs.name as facility, 
	case 
		when mems.memid = 0 then
			bks.slots*facs.guestcost
		else
			bks.slots*facs.membercost
	end as cost
        from
                cd.members mems                
                inner join cd.bookings bks
                        on mems.memid = bks.memid
                inner join cd.facilities facs
                        on bks.facid = facs.facid
        where
		bks.starttime >= '2012-09-14' and 
		bks.starttime < '2012-09-15' and (
			(mems.memid = 0 and bks.slots*facs.guestcost > 30) or
			(mems.memid != 0 and bks.slots*facs.membercost > 30)
		)
order by cost desc; "
rails failing install,"removed rvm this morning, and reinstallation of rails is failing.","rails website, stack overflow",I really have no idea.
hrefs in sinatra,"Trying to get manual links implemented on my wizard app.  The links are selectable, but the browser does not pursue the path.   ",sinatra,Im wondering if a get request is not getting processed from the link action?
Help installing rails / deleting rvm ?,"Rails keeps installing in separate folders, so it's not accessible throughout the system.","Google, sam",RVM is defaulting to settings without rails? not sure
Implementing simple_form gem with bootstrap and Rails app,I'm trying to implement a gem that I've downloaded for my initial rails app but it doesn't seem to work. ,gem documentation,"I'm not sure what is happening. I've followed the treehouse tutorial and the gem documentation. The server is breaking when i try to implement simple form as directed by the docs. How would I troubleshoot something like this? I've updated the gem, I've done bundle, and I've used the code as instructed on the docs. What else could I do to troubleshoot this?"
Need an EE to review scaffold exercise,"I think i finished the challenge unless I've completely misread the assignment, and apollo says i need someone to check it to make sure it's correct. ",Can't search for EE validation :(,Either i've done it correctly or need to work on it more
Rails Scaffold Review,Completed Scaffold challenge. Also a question on time stamps. ,Nothing,Wrong input during migrate. Or something. Probably black magic. Definitely black magic..
Sputnik Submission,Katas that I had started but not finished before updating comet get an error when I try to submit. Other katas that I've downloaded since update submit fine.,Mostly my feelings,Lots of errors and sadness....
Understanding Joined Tables 'On' Condition,"mems.recommendedby = recs.memid AND mems.memid = recs.recommendedby 
give a different results.why?
",http://pgexercises.com/questions/joins/self2.html,"select distinct mems.firstname as memfname, mems.surname as memsname, recs.firstname as recfname, recs.surname as recsname
	from 
		cd.members mems
		left outer join cd.members recs
			on recs.memid = mems.recommendedby
order by memsname, memfname;

"
TDD: Undefined method for 'each',Testing my leaderboard and building method for Game class. I don't know how to make the '.each' method for hashes pass in my class.,stack,n/a
ActiveRecord migration to populate union table,"We've created and populated a customer table, products table, employees table, invoice table.  We've created a sale items table, but are having trouble populating it.  

Below is the beginning of the error message we've been getting when attepting to populate the sale items  table, and below that is a link to the git:

➜  migrate git:(master) ✗ bundle exec rake db:migrate
(in /Users/NickKlesaris/Dropbox/launchacademy/korning)
==  PopulateSalesItems: migrating =============================================
-- sale_item()
rake aborted!
An error has occurred, this and all later migrations canceled:

undefined local variable or method `sale_item' for #<PopulateSalesItems:0x007f7fc56ef888>/Users/NickKlesaris/.gem/ruby/2.0.0/gems/activerecord-4.0.1/lib/active_record/migration.rb:624:in `block in method_missing'
/Users/NickKlesaris/.gem/ruby/2.0.0/gems/activerecord-4.0.1/lib/active_record/migration.rb:597:in `block in say_with_time'
/Users/NickKlesaris/.gem/ruby/2.0.0/gems/activerecord-4.0.1/lib/active_record/migration.rb:597:in `say_with_time'
/Users/NickKlesaris/.gem/ruby/2.0.0/gems/activerecord-4.0.1/lib/active_record/migration.rb:617:in `method_missing'
/Users/NickKlesaris/Dropbox/launchacademy/korning/db/migrate/20140320190417_populate_sales_items.rb:6:in `block (2 levels) in change'
/Users/NickKlesaris/.gem/ruby/2.0.0/gems/activerecord-4.0.1/lib/active_record/core.rb:187:in `initialize'


https://github.com/nickklesaris/korning",Searched on stackoverflow... there was one possible solution to use Devise and adding t.confirmable.  I wanted to get an EE's perspective.  ,Possible gem error.  Maybe something we've overlooked.  
Postgres Setup,I'd like to verify that I've installed Postgres correctly. I've edited my .zshrc file and want to make sure I haven't affected other functionality.,http://postgresapp.com/documentation/,Would just like to verify that I've done this correctly before moving forward.
rails not working,"Rails was working fine until I tried to include PostgreSQL. I restarted my computer, and it started working back. But it stopped working again. ","google, stackoverflow",it is compatibility issue with PostgreSQL
Javascript Syntax,"When are new objects created in Javascript vs. merely references to variables?
When can you use '.' to call a method, rather than prepending with another variable? Likewise, when can semi-colons be safely omitted? Will global variables defined in other objects be garbage collected when those objects are removed?",https://developer.mozilla.org/en-US/docs/Web/JavaScript/A_re-introduction_to_JavaScript,Learning Javascript
Associations: Tests aren't failing,Issue with alias and associations.,"Apollo notes, lecture notes, and Stack","We are struggling to determine how to build proper failing tests, specially for alias and join tables."
System check 4,Initial analysis,Google,brain
Debugging Javascript / Using console,"What methods do I have access to for inspecting objects/functions currently running / in memory?
Can I step backwards in debugging?",https://developers.google.com/chrome-developer-tools/docs/javascript-debugging,The program isn't being reset properly
my rails generate scaffold produces nothing?,"for example:

$ rails generate scaffold Inquiry email:string first:string last:string
Usage:
  rails new APP_PATH [options]

Options:
  -r, [--ruby=PATH]                                      # Path to the Ruby binary of your choice
                                                         # Default: /Users/Eric/.rvm/rubies/ruby-2.0.0-p353/bin/ruby
  -m, [--template=TEMPLATE]                              # Path to some application template (can be a filesystem path or URL)
      [--skip-gemfile], [--no-skip-gemfile]              # Don't create a Gemfile
  -B, [--skip-bundle], [--no-skip-bundle]                # Don't run bundle install
  -G, [--skip-git], [--no-skip-git]                      # Skip .gitignore file
      [--skip-keeps], [--no-skip-keeps]                  # Skip source control .keep files
  -O, [--skip-active-record], [--no-skip-active-record]  # Skip Active Record files
  -S, [--skip-sprockets], [--no-skip-sprockets]          # Skip Sprockets files
  -d, [--database=DATABASE]                              # Preconfigure for selected database (options: mysql/oracle/postgresql/sqlite3/frontbase/ibm_db/sqlserver/jdbcmysql/jdbcsqlite3/jdbcpostgresql/jdbc)
                                                         # Default: sqlite3
  -j, [--javascript=JAVASCRIPT]                          # Preconfigure for selected JavaScript library
                                                         # Default: jquery
  -J, [--skip-javascript], [--no-skip-javascript]        # Skip JavaScript files
      [--dev], [--no-dev]                                # Setup the application with Gemfile pointing to your Rails checkout
      [--edge], [--no-edge]                              # Setup the application with Gemfile pointing to Rails repository
  -T, [--skip-test-unit], [--no-skip-test-unit]          # Skip Test::Unit files
      [--rc=RC]                                          # Path to file containing extra configuration options for rails command
      [--no-rc], [--no-no-rc]                            # Skip loading of extra configuration options from .railsrc file

Runtime options:
  -f, [--force]                    # Overwrite files that already exist
  -p, [--pretend], [--no-pretend]  # Run but do not make any changes
  -q, [--quiet], [--no-quiet]      # Suppress status output
  -s, [--skip], [--no-skip]        # Skip files that already exist

Rails options:
  -h, [--help], [--no-help]        # Show this help message and quit
  -v, [--version], [--no-version]  # Show Rails version number and quit

Description:
    The 'rails new' command creates a new Rails application with a default
    directory structure and configuration at the path you specify.

    You can specify extra command-line arguments to be used every time
    'rails new' runs in the .railsrc configuration file in your home directory.

    Note that the arguments specified in the .railsrc file don't affect the
    defaults values shown above in this help message.

Example:
    rails new ~/Code/Ruby/weblog

    This generates a skeletal Rails installation in ~/Code/Ruby/weblog.
    See the README in the newly created application to get going.",scaffold stackoverflow,.
"Sam, please come talk to me about my breakable toy.",I'm trying to make decisions.,my brain (which is actually the appropriate answer!),I'm choosing between the better breakable toy.
issue tracker acceptance testing,Need clarification reading results of tests.  examples jumped from 32 to 16?  ,events tracker suplimental reading,"I just added some constraints to my model, perhaps it nullified some of the tests?"
Issue Tracker,I can't get my form to look right using simple_form in _form.html.erb,"stackoverflow, github, simple_form docs",I am probably using incorrect syntax
Running into trouble on my show page,"I'm trying to give my show page the objects to display:
 <p>
  <strong>First Name:</strong>
  <%= @contact.first_name %>
</p>

, etc., but it's not working; giving me an error ndefined method `first_name' for nil:NilClass",Stax,"I think it can't read the class, maybe its not available to the page? "
Migration,"I keep getting this error after I already did ""rake db:migrate""

/Users/caigao/.gem/ruby/2.0.0/gems/activerecord-4.0.4/lib/active_record/migration.rb:383:in `check_pending!': Migrations are pending; run 'bin/rake db:migrate RAILS_ENV=test' to resolve this issue. (ActiveRecord::PendingMigrationError)",migration,I am not sure. 
Forms & Specs,"-Clearing test database (weird, yes?)
-Drying spec code
-telling user particular field cant be blank if input missing",Github repos,Code looks kinda ugly
group project milestone construction,not sure how to group the user stories into milestones for us to reach ,discussed it amongst ourselves,uncertain about best way to go forward and set milestones
rails (rake db:create),"every time I try to create a database, the message I get back is: FATAL:  role ""app_name"" does not exist
",stack overflow,"there's a workaround you can do where you  create the user (""role"") inside PostgreSQL. it works but I don't want to keep having to do that?"
creating a foreign key in Invoices table,"I don't know how to map the invoices table to the sales table, if I only have one field in the invoices table (invoice_frequency)","not much to search but I discussed it with several people, all of whom either had trouble explaining it or didn't know",I'm having trouble conceptualizing it
Class Not Initialized,"I'm trying to test a class I just made that requires 5 arguments but when I invoke it from within another class I get:

#<User not initialized>",Googles,I don't think the class I'm in can see my other class even though I've put require_relative
12 bottles of beer,I have 12 bottles of beer.  Whoever gets here first gets one.  ,beech street,Not enough alcohol is being consumed by the EEs.
Conflict in gem versions,"➜  rake db:migrate
rake aborted!
You have already activated rake 10.1.1, but your Gemfile requires rake 10.1.0. Prepending `bundle exec` to your command may solve this.",N/A,I am not using a gemset so I think the conflict arises because I have two version of the same gem installed. I thought charuby was going to replace a need for gemsets.
Getting error message on my validations stuff,/Users/Modulus/.rvm/gems/ruby-2.0.0-p353@global/gems/activerecord-4.0.4/lib/active_record/attribute_methods/write.rb:47:in `write_attribute': can't write unknown attribute `interest_group_id' (ActiveModel::MissingAttributeError),Looked through my code ,I think that interest_group_id hasn't been properly connected to its respective classes...
how to only allow two possible inputs to be valid?,Setting up the user model in launcher network and need to make sure that they can only be 'Launcher' or 'Experience Engineer'. ,"Stack overflow, apollo, documentation",I'm missing a reallllllllllly obvious way to do this
migration already exists," launchbook  rspec spec/models/user_spec.rb
/Users/LaunchAcademy/.gem/ruby/2.0.0/gems/activerecord-4.0.3/lib/active_record/migration.rb:379:in `check_pending!': Migrations are pending; run 'bin/rake db:migrate RAILS_ENV=test' to resolve this issue. (ActiveRecord::PendingMigrationError)
	from /Users/LaunchAcademy/Documents/Charlie_week/launchbook/spec/spec_helper.rb:13:in `<top (required)>'
	from /Users/LaunchAcademy/.rubies/ruby-2.0.0-p353/lib/ruby/2.0.0/rubygems/core_ext/kernel_require.rb:53:in `require'
	from /Users/LaunchAcademy/.rubies/ruby-2.0.0-p353/lib/ruby/2.0.0/rubygems/core_ext/kernel_require.rb:53:in `require'
	from /Users/LaunchAcademy/Documents/Charlie_week/launchbook/spec/models/user_spec.rb:1:in `<top (required)>'
	from /Users/LaunchAcademy/.gem/ruby/2.0.0/gems/rspec-core-2.14.8/lib/rspec/core/configuration.rb:896:in `load'
	from /Users/LaunchAcademy/.gem/ruby/2.0.0/gems/rspec-core-2.14.8/lib/rspec/core/configuration.rb:896:in `block in load_spec_files'
	from /Users/LaunchAcademy/.gem/ruby/2.0.0/gems/rspec-core-2.14.8/lib/rspec/core/configuration.rb:896:in `each'
	from /Users/LaunchAcademy/.gem/ruby/2.0.0/gems/rspec-core-2.14.8/lib/rspec/core/configuration.rb:896:in `load_spec_files'
	from /Users/LaunchAcademy/.gem/ruby/2.0.0/gems/rspec-core-2.14.8/lib/rspec/core/command_line.rb:22:in `run'
	from /Users/LaunchAcademy/.gem/ruby/2.0.0/gems/rspec-core-2.14.8/lib/rspec/core/runner.rb:80:in `run'
	from /Users/LaunchAcademy/.gem/ruby/2.0.0/gems/rspec-core-2.14.8/lib/rspec/core/runner.rb:17:in `block in autorun'",apollo rspec and rails module,"Not sure.  I performed rake migrate, rollback, migrate, test prepare and this is the warning I get when attempting to run rspec now"
bug in scaffolding :(,"$ rails g scaffold Contacts email:string subject:string description:string first:string last:string
/Users/Eric/.rvm/gems/ruby-2.0.0-p451@Contact/gems/json-1.8.1/lib/json/ext/parser.bundle: [BUG] Segmentation fault
ruby 2.0.0p247 (2013-06-27 revision 41674) [universal.x86_64-darwin13]

-- Crash Report log information --------------------------------------------
   See Crash Report log file under the one of following:
     * ~/Library/Logs/CrashReporter
     * /Library/Logs/CrashReporter
     * ~/Library/Logs/DiagnosticReports
     * /Library/Logs/DiagnosticReports
   the more detail of.

-- Control frame information -----------------------------------------------
c:0031 p:-17556865027848 s:0092 e:000091 TOP    [FINISH]
c:0030 p:---- s:0090 e:000089 CFUNC  :require
c:0029 p:0009 s:0086 e:000085 CLASS  /Users/Eric/.rvm/gems/ruby-2.0.0-p451@Contact/gems/json-1.8.1/lib/json/ext.rb:13
c:0028 p:0011 s:0084 e:000083 CLASS  /Users/Eric/.rvm/gems/ruby-2.0.0-p451@Contact/gems/json-1.8.1/lib/json/ext.rb:12
c:0027 p:0057 s:0082 e:000081 TOP    /Users/Eric/.rvm/gems/ruby-2.0.0-p451@Contact/gems/json-1.8.1/lib/json/ext.rb:9 [FINISH]
c:0026 p:---- s:0080 e:000079 CFUNC  :require
c:0025 p:0019 s:0076 e:000075 CLASS  /Users/Eric/.rvm/gems/ruby-2.0.0-p451@Contact/gems/json-1.8.1/lib/json.rb:58
c:0024 p:0017 s:0074 e:000073 TOP    /Users/Eric/.rvm/gems/ruby-2.0.0-p451@Contact/gems/json-1.8.1/lib/json.rb:54 [FINISH]
c:0023 p:---- s:0072 e:000071 CFUNC  :require
c:0022 p:0009 s:0068 e:000067 TOP    /Users/Eric/.rvm/gems/ruby-2.0.0-p451@Contact/gems/activesupport-4.0.4/lib/active_support/core_ext/object/to_json.rb:3 [FINISH]
c:0021 p:---- s:0066 e:000065 CFUNC  :require
c:0020 p:0071 s:0062 e:000061 TOP    /Users/Eric/.rvm/gems/ruby-2.0.0-p451@Contact/gems/activesupport-4.0.4/lib/active_support/core_ext/object.rb:11 [FINISH]
c:0019 p:---- s:0060 e:000059 CFUNC  :require
c:0018 p:0023 s:0056 e:000055 TOP    /Users/Eric/.rvm/gems/ruby-2.0.0-p451@Contact/gems/railties-4.0.4/lib/rails/configuration.rb:3 [FINISH]
c:0017 p:---- s:0054 e:000053 CFUNC  :require
c:0016 p:0015 s:0050 e:000049 TOP    /Users/Eric/.rvm/gems/ruby-2.0.0-p451@Contact/gems/railties-4.0.4/lib/rails/railtie.rb:2 [FINISH]
c:0015 p:---- s:0048 e:000047 CFUNC  :require
c:0014 p:0007 s:0044 e:000043 TOP    /Users/Eric/.rvm/gems/ruby-2.0.0-p451@Contact/gems/railties-4.0.4/lib/rails/engine.rb:1 [FINISH]
c:0013 p:---- s:0042 e:000041 CFUNC  :require
c:0012 p:0031 s:0038 e:000037 TOP    /Users/Eric/.rvm/gems/ruby-2.0.0-p451@Contact/gems/railties-4.0.4/lib/rails/application.rb:4 [FINISH]
c:0011 p:---- s:0036 e:000035 CFUNC  :require
c:0010 p:0047 s:0032 e:000031 TOP    /Users/Eric/.rvm/gems/ruby-2.0.0-p451@Contact/gems/railties-4.0.4/lib/rails.rb:9 [FINISH]
c:0009 p:---- s:0030 e:000029 CFUNC  :require
c:0008 p:0015 s:0026 e:000025 TOP    /Users/Eric/.rvm/gems/ruby-2.0.0-p451@Contact/gems/activerecord-4.0.4/lib/active_record/railtie.rb:2 [FINISH]
c:0007 p:---- s:0024 e:000023 CFUNC  :require
c:0006 p:0026 s:0020 e:000019 TOP    /Users/Eric/Google Drive/Contact/config/application.rb:4 [FINISH]
c:0005 p:---- s:0018 e:000017 CFUNC  :require
c:0004 p:0289 s:0014 e:000013 TOP    /Users/Eric/.rvm/gems/ruby-2.0.0-p451@Contact/gems/railties-4.0.4/lib/rails/commands.rb:43 [FINISH]
c:0003 p:---- s:0008 e:000007 CFUNC  :require
c:0002 p:0034 s:0004 E:000178 EVAL   bin/rails:4 [FINISH]
c:0001 p:0000 s:0002 E:000eb8 TOP    [FINISH]

bin/rails:4:in `<main>'
bin/rails:4:in `require'
/Users/Eric/.rvm/gems/ruby-2.0.0-p451@Contact/gems/railties-4.0.4/lib/rails/commands.rb:43:in `<top (required)>'
/Users/Eric/.rvm/gems/ruby-2.0.0-p451@Contact/gems/railties-4.0.4/lib/rails/commands.rb:43:in `require'
/Users/Eric/Google Drive/Contact/config/application.rb:4:in `<top (required)>'
/Users/Eric/Google Drive/Contact/config/application.rb:4:in `require'
/Users/Eric/.rvm/gems/ruby-2.0.0-p451@Contact/gems/activerecord-4.0.4/lib/active_record/railtie.rb:2:in `<top (required)>'
/Users/Eric/.rvm/gems/ruby-2.0.0-p451@Contact/gems/activerecord-4.0.4/lib/active_record/railtie.rb:2:in `require'
/Users/Eric/.rvm/gems/ruby-2.0.0-p451@Contact/g",error message,scaffolding issue
"click_on ""Create Contact"" not working",Working on my capybara testing. ,Staxded it,"The clickon button isn't working. I thought it might be my responds_to, but i don't think it is. It's not because all the fields aren't filled, I don't think, because I've given them all inputs. 
"
recurring error message when running a spec,"I always get this recurring error message when running a test:
```/Users/lydiaho/.rvm/rubies/ruby-2.0.0-p353/lib/ruby/gems/2.0.0/gems/activerecord-4.0.4/lib/active_record/migration.rb:383:in `check_pending!': Migrations are pending; run 'bin/rake db:migrate RAILS_ENV=test' to resolve this issue. (ActiveRecord::PendingMigrationError)```",apollo readings to see if I missed anything; stackoverflow,"it might be that I'm not migrating my database, but I'd like to understand what is happening "
Questions regarding Devise,Need some clarification on Devise controllers,"github/devise and launchacademy/examples of devise, etc",n/a
Questions regarding Devise,Need some clarification on Devise controllers,"github/devise and launchacademy/examples of devise, etc",n/a
Life,My Sinatra app & a hackathon this weekend,My soul,I'm eating crackers
RSpec load path ,Had an issue loading my lib file with require_relative. Fixed now but I'm not really sure how or why. ,Stack Overflow,Maybe an issue with RVM 
Forcing a method to return an object,"  def character_count(regex)
    words = Hash.new(0)
    text.downcase.each_char do |letter|
      words[letter] += 1 if letter =~ regex
    end
    words#<- is there a way around this?
  end",N/A,Is there a way to do this better? It also seems better to say 'return words' for clarity.
Reading - Question with making test pass,"I've adjusted the migration file and the class files to try to get the quick challenge from the reading done, but it's not working. ","Rails Guides, Stax, misc. websites",It is not passing the test: http://apollo.launchacademy.co/assignments/rspec-tests-in-rails
Code Review for TDD Rails reading (how to add a timestamp in a spec file),I am trying to accomplish the quick challenge by implementing the date of when a bird was spotted. I'd just like to have a quick code review to see what I'm doing wrong in my spec file.,Active Records guide (didn't have what I was looking for),"What's happening is my datetime value is not being registered on my spec file. For my test I have the string I'd like which is 'A bluejay was spotted by Jon in Somerville at #{datetime}'. Datetime is the value associated with the created_at field. Because it is not a string, I have to convert it somehow. I've looked at the documentation but all I've found is how to convert a string into a date object."
Music git clone with rails,"Bundle not found. 

➜  Desktop git:(master) ✗ cd music
➜  music git:(master) bundle
zsh: command not found: bundle
➜  music git:(master) bundle install
zsh: command not found: bundle
➜  music git:(master)","Google- gem install bundle, bundle install, rails and bundle",Something is not properly installed. maybe?
How to pass in regex as parameter tdd ,"Ruby doesn't understand the stuff inside the regex [ ]
",Asked sam,"There's a sneak way to pass in regex, but I don't know it. 
http://codeshare.io/nK1nf"
Rails giving error,"FATAL:  database ""birds_development"" does not exist on running rake db:migrate",http://stackoverflow.com/questions/16378206/postgresql-error-fatal-role-demo-does-not-exist-pgerror,Rails isn't automatically generating a new database for me.
Go over challenge schema and general help with associations ,"do I need a union table for many to many relationships?
",reading materials,nothing 
Even on save joined table created from build does not link to group,https://gist.github.com/pdw207/9696739,join tables in railsguides,I thought the fact it wasn't saved to SQL was not creating the association but I don't have an idea.
Even on save joined table created from build does not link to group,https://gist.github.com/pdw207/9696739,join tables in railsguides,I thought the fact it wasn't saved to SQL was not creating the association but I don't have an idea.
Hlp m3 wif d4 t3zting plz,"Using the following to create a 10 different posts: 
 (0...9).each do |number|
      Post.create(
        title: number.to_s,
        body: number.to_s,
        user: user,
        interest_group: group
        )
It passes the test after running rake db:test:prepare, (expect(group.post_count).to eq(10)) , but then fails afterwards by returning 20, 30, etc. (adding ten for each additional test I run). ",Specific information,"I think that it is creating these permanently, when it should only be creating them for tests. "
tests just broke help me,all of my tests except one of them worked in launcher network and then i don't know what i did and i BROKE EVERYTHING IN THE WORLD.,looked through and commented out everything i could have possibly broke,i messed up something baaaaaaad.
My tests won't run,"The program says it can't find the test_helper.rb file. When I changed it to require_relative instead of require, I could get it to run without an error, but it said that there were 0 tests and 0 assertions and so on.",Stack Overflow,I do not know!
Populating database in Heroku,Attempting to populate database via migration in Heroku ActiveRecord. Getting an error.,Yes. Haven't found much relevant info.,"Post class isn't accessible...however it does exist in the database, and the file is required in the server file.
```/Users/brucehlinder/Google Drive/bjornlinder.herokuapp.com/db/migrate/20140324223140_populate_database.rb:8: syntax error, unexpected tCONSTANT, expecting ')'
		Post.create(title: ""First Blog Po...```"
acceptance testing for a js map interface,how do i do it ,acceptance testing for javascript ajax,.
views and controls,want to search my data using search methods,apollo,I am having trouble using the search method
Simple_form validations,"Simple_form's built-in validations aren't allowing me to do user acceptance tests.  Currently I have:

```
 context 'with invalid attributes' do
    it 'is invalid without required registrant input' do
      visit new_dog_path

      click_on ""Register Dog""
      expect(page).to have_content(""Email can't be blank"")
    end
  end
```","Stackoverflow, various docs regarding capybara & simple_form","The errors hash produced by simple form shows:

""* First Namecan't be blank * Last Namecan't be blank * Emailcan't be blank * Dog's Namecan't be blank Breed""

I can test for ""Emailcan't be blank"" but that seems like poor practice."
devise - redirecting to root_path after sign up,"after signing up, user is redirected to /users instead of root_path. how do we fix this?",devise docs,.
adding new column devise,simple form is creating issues,stax,Simple form gem and something in the config not wokring
Yielding certain pieces of application layout,Want to make exceptions for certain pieces of layout so doesn't appear on certain pages,layout info and rails docs,want to find best practice for assets pipeline
Rails: Introduction to Models ,I am not getting the expected results when following the instructions in the reading.  ,Have tried the suggestions rails made.  ,Might possibly be a version or gem problem.  
